"Age","Income","Loan.Amount.Request","Current.Loan.Expenses","Credit.Score","Property.Price","Loan.Sanction.Amount"
56,1933.05,72809.58,241.08,809.44,119933.46,54607.18
32,4952.91,46837.47,495.81,780.4,54791,37469.98
65,988.19,45593.04,171.95,833.15,72440.58,36474.43
65,2123.95,80057.92,298.54,832.7,121441.51,56040.54
31,2614.77,113858.89,491.41,745.55,208567.91,74008.28
60,1234.92,34434.72,181.48,684.12,43146.82,22382.57
43,2361.56,152561.34,697.67,637.29,221050.8,0
45,3355.93,240311.77,807.64,812.26,401040.7,168218.24
38,1296.07,35141.99,155.95,705.29,54903.44,22842.29
18,1546.17,42091.29,500.2,613.24,67993.43,0
18,2416.86,25765.72,140.02,652.41,32423.71,16747.72
39,2719.74,20879.96,93.99,646.21,33568.47,0
48,777.25,96080.6,342.33,764.11,146073.26,67256.42
43,997.25,48894.06,178.06,726.28,80607.4,34225.84
61,1664.52,72448.95,398.88,781.51,113464.01,54336.71
54,3716.54,116487.58,521.23,749.33,194442.39,75716.93
61,2077.42,70815.01,417.01,779.55,102502.2,0
64,2346.88,89489.99,327.14,803.04,148424.56,67117.49
65,1523.03,66567.35,299.53,862.33,118617.77,46597.14
41,1837.17,112910.57,422.61,722.74,128407.6,73391.87
32,1537.82,93103.63,351.54,671.65,116861.82,0
19,2889.94,57810.08,264.92,787.74,80756.7,40467.06
44,1266.06,12402.54,136.65,804.2,21913.58,-999
24,2538.85,120525.64,552.77,721.27,170642.55,84367.95
55,2497.4,115851.35,479.87,712.05,151126.46,0
63,700.07,38101.51,240.38,860.88,47390.38,28576.13
18,4028.01,95922.71,417.05,620,139522.21,0
18,5350.94,99492.44,516.71,733.68,188950.33,0
23,4141.15,168825.55,621.83,637.03,193087.29,0
29,3880.49,234770.77,636.65,767.85,326886.67,164339.54
32,2478.54,30195.97,225.64,739.885381135809,45299.77,24156.78
18,2123.95,85927.28,217.19,688.21,160151.78,60149.1
28,2474.33,17503,144.82,855.97,32580.57,14002.4
18,1220.16,35595.86,153.25,706.08,41948.44,24917.1
18,1671.02,91850.54,438.64,834.62,144087.09,0
49,1974.82,43299.94,264.58,651.45,58269.09,0
61,5302.28,186715.38,527.81,748.38,270558.3,121365
18,2368.34,18386.57,219.7,672.32,27966.91,11951.27
28,2067.66,39290.22,193.27,630.73,70132.42,0
18,7885.56,121963.5,587.8,721.18,142645.25,85374.45
30,4096.07,65332.24,334.81,707.3,122411.52,42465.96
54,5330.72,133531.81,535.77,861.21,170214.99,100148.86
37,2680.38,85145.49,618.52,855.18,104278,68116.39
51,3384.91,40679.95,340.44,799.57,54618.45,32543.96
18,1694.53,41837.3,286.68,747.21,75416.35,27194.25
27,1960.17,123034.46,684.16,715.43,169416.28,0
54,1871.92,55863.31,318.76,797.47,102110.07,44690.65
44,1761.15,75574.36,355.11,755.48,84102.27,56680.77
64,2478.3,171270.39,560.47,733.67,300043.91,111325.75
59,2123.95,155502.39,502.13,855.39,228079.45,116626.79
62,1282.74,71476.86,334.91,775.55,85170.57,57181.49
39,1822.63,47012.15,238.11,757.22,84534.32,35259.11
61,3104,159180.09,669.51,842.99,278885.16,119385.07
21,1984.32,90857.67,479.49,775.57,119869.89,0
55,1973.51,46240.13,226.65,644.64,63760.17,0
18,3031.97,33085.85,336.9,833.33,37567.92,0
31,2140.46,99992.27,702.57,745.91,145120.22,64994.98
43,5445.6,58236.85,435.07,718.89,72025.12,40765.8
33,3175.91,185900.53,699.92,681.16,210100.47,130130.37
51,4068.02,116442.26,841.91,831.88,192340.59,0
58,1633.88,48546.56,238.55,774.67,84149.5,33982.59
25,1224.99,84606.2,427.1,705.62,136029.3,59224.34
51,1993.49,97298.45,275.74,801.23,157137.04,68108.91
43,2140.46,43232.4,203.58,725.78,70538.77,28101.06
65,1047.12,40742.95,169.31,821.87,56784.27,30557.21
28,1972,97666.72,356.08,796.03,116536.87,68366.7
26,5021.9,136882.85,699.72,643.89,226130.72,0
65,3865.02,217597.12,658.92,797.55,263176.92,163197.84
18,2453.28,27469.27,138.28,812.36,50068.09,21975.42
60,1318.47,30191.08,114.06,766.81,36230.17,0
43,1794.1,33807.36,240.32,723.8,51738.76,21974.78
54,2814.48,100346.63,427.31,742.45,132302.29,65225.31
24,1580.38,66041.19,325.89,717.92,100265.3,46228.83
55,2700.12,24890.1,141.45,757.67,32954.34,18667.57
50,2453.28,61445.67,316.61,710.12,116623.96,43011.97
50,2476.71,79928.84,336.88,678,100315.66,51953.75
46,2239.14,46755.67,237.28,676.78,57625.06,0
18,2760.03,64516.08,322.2,682.6,117010.73,41935.45
62,1519.67,45103.02,450.18,854.18,75013.84,31572.11
48,2590.89,32607.06,293,801.62,60126.46,26085.65
56,1589.8,42465.29,294.29,729.66,68719.99,29725.7
30,3967.09,175654.45,730.28,718.28,198852.89,114175.39
64,1179.18,30385.6,251.72,756.24,39087.37,0
22,2178.86,60176.63,282.93,813.17,82905.84,45132.47
37,1332.42,60017.87,475.42,728.29,99319.12,42012.51
36,2966.6,152200.62,736.35,766.19,171476.96,0
63,3516.53,111662.86,670.31,822.91,149145.97,89330.29
61,2123.95,258359.02,938.59,791.54,437535.71,193769.26
65,3477.95,44490.31,243.35,747.66,60639.31,0
22,1206.34,19195.88,97.75,669.13,32233.86,12477.32
56,1891.2,114434.1,360.1,739.885381135809,217245.44,0
53,2000.87,124714.96,631.2,675.33,170138.05,87300.47
34,2351.33,53358.88,272.46,657.77,-999,34683.27
53,1729.9,132530.58,439.49,630.55,157052.24,0
48,979.49,24728.19,137.78,710.2,33750.19,16073.32
51,6060.9,102169.74,738.55,851.94,139187.56,86844.28
18,2165.87,30911.17,152.44,739.885381135809,41720.56,21637.82
40,2055.92,76049.06,341.29,760.05,89983.16,60839.25
18,1532,33819.92,170.24,682.04,49033.5,21982.95
18,1844.18,155880.45,726.98,700.26,229559.35,0
56,1894.11,36501.56,219.55,854.27,53826.78,25551.09
65,6446.85,37067.92,197.19,717.87,62892.32,24094.15
35,3537.39,27863.43,127.96,687.21,49483.82,19504.4
65,1356.3,90572.18,327.39,781.35,139890.25,72457.74
58,1565.69,20284.94,179.39,660.75,37516.71,13185.21
44,1973.51,38189.42,133.77,658.54,66887,24823.12
63,1028.41,6840.47,66.86,770.26,9440.89,5130.35
42,2019.52,31003.62,249.76,632.51,48389.84,0
36,2165.87,58353.58,474.24,670.61,80524.3,35209.395
18,3214.48,107040.92,589.89,681.92,161283.95,69576.6
23,1712.51,44232.77,213.61,630.48,76206.18,0
56,2453.28,200074.37,562.02,733.89,364087.25,130048.34
59,2123.95,139265.98,388.1,704.75,221176.16,90522.89
27,3370.31,107191.77,896.93,742.99,153306.01,0
62,2573.03,136992.15,395.22,701.49,251217.1,35209.395
64,1545.57,159560.45,498.49,707.22,279036.8,103714.29
57,1040.76,7312.83,81.78,664.4,8496.3,0
22,4493.53,62366.83,283.94,797.71,113945.92,49893.46
42,2139.98,24656.28,124.14,852.17,31258.86,19725.02
36,1973.51,97031.52,308.86,781.72,169263.91,72773.64
38,1274.01,51251.75,241.86,632.1,70784.92,0
38,1919.85,31362.64,260.79,756.17,52756.02,21953.85
47,1273.04,38205.43,205.4,798.66,64949.87,28654.07
64,3418.19,59458.51,358.26,809.85,92549.63,41620.96
32,4752.31,92444.56,447.98,723.27,102105.1,64711.19
41,2918.66,67945.04,361.46,739.885381135809,113957.08,47561.53
26,2461.58,49549.37,354.87,649.78,69007.01,0
18,3355.93,74577.6,381.31,718.98,106610.08,52204.32
52,1598,63966.4,343.75,701.88,97947,0
39,2100.78,210569.27,537.7,699.5,391691.7,147398.49
58,1660.34,49598.48,265.6,763.17,59389.33,39678.78
18,2877.12,169359.86,1162.36,670.89,265433.18,118551.9
